Nome;Pergunta;Resposta
Fenaren Gel;Qual é a finalidade do medicamento Fenaren Gel?;Tratamento local de tendinites dos membros superiores e inferiores. Edemas pós-operatórios e pós-traumáticos.
Detrusitol;Em que circunstâncias eu não deveria utilizar Detrusitol?;Não deve ser usado em mulheres grávidas ou que estejam a amamentar, pacientes com retenção urinária, retenção gástrica, glaucoma não controlado de ângulo estreito ou alergia a qualquer componente da fórmula.
Serzone;Qual é o mecanismo de ação de Serzone?;A farmacocinética da nefazodona e de seus principais metabólitos está sujeita a uma considerável variabilidade inter e intrapessoal.
Maxsulid 400;Qual é o propósito principal de Maxsulid 400 na área da saúde?;O Maxsulid é um remédio analgésico e anti-inflamatório, indicado para tratar a dor e a febre, para o tratamento da inflamação, vermelhidão e inchaço e dor e inflamação dos osssos e das articulações.
Lerin;Quais são os riscos para a saúde relacionados ao uso de Lerin?;Em doses excessivas e uso prolongado: hiperemia ocular, visão turva, pupilas dilatadas, cefaléia, nervosismo, náuseas, aumento da sudorese.
Sepurin comprimidos;Quais são os riscos para a saúde relacionados ao uso de Sepurin comprimidos?;Os efeitos adversos mais comuns ao uso deste medicamento são dor abdominal, náusea, vômitos, reações de pele e ardência ao urinar
Somalgin cardio;Em que circunstâncias eu não deveria utilizar Somalgin cardio?;O Somalgin não poderá ser utilizado em pessoas com alergia ao ácido acetilsalicílico ou a qualquer componente ou excipiente do produto, asma, rinite e/ou pólipos no nariz, úlcera no estômago ou no intestino, grávidas nos três últimos meses de gravidez, anemia ou que já tenham tido esta doença, ou se o tempo para um sangramento parar esteja demorando mais do que o normal e em menores do que 18 anos.
Rifocort pomada;Quais são as orientações específicas para utilizar Rifocort pomada?;Geralmente, é recomendada a aplicação da pomada sobre a área afetada 3 a 4 vezes por dia, ou de acordo com indicação médica.
Budecort Aqua​;Como usar Budecort Aqua​?;Tratamento de Rinites
Tramal retard;Em que situações médicas é recomendado o uso de Tramal retard?;O Tramal Retard é um remédio indicado para o alívio da dor de intensidade moderada a grave.
Nimed;Para que serve Nimed?;Nimed é indicado no tratamento da dor aguda e no tratamento de dores menstruais.
Benzevit prevent;Quais são as contraindicações para Benzevit prevent?;Este remédio não deve ser usado em pessoas com alergia a qualquer um dos componentes presentes na formulação.
MabThera 100 e 500 mg;Quais são as orientações específicas para utilizar MabThera 100 e 500 mg?;Este medicamento deve ser administrado por um profissional de saúde.
Pantelmin;Quais são as contraindicações para Pantelmin?;Este medicamento não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes presentes na fórmula, em crianças com menos de 1 ano de idade, em grávidas e mulheres que estejam a amamentar.
Cataflam Sport Ice;Qual é a finalidade do medicamento Cataflam Sport Ice?;Cataflam Sport Ice é indicado para contusões, traumas, dores musculares, câimbras, torcicolos e processos dolorosos e inflamatórios em geral.
Dexason creme;Para que serve Dexason creme?;Antiinflamatório e antipruriginoso tópico utilizado no tratamento de muitas formas de dermatoses. Prurido anogenital inespecífico, dermatoses alérgicas tais como as dermatites de contato, dermatite atópica (eczema alérgico), neurodermatites, pruridos com liquenificações, dermatite eczematóide, eczema alimentar, eczema infantil e dermatite actínica, tratamento sintomático da dermatite seborréica, miliária, impetigo, queimadura devido aos raios solares, picadas de insetos e otite externa (não havendo perfuração da membrana do tímpano). Esta preparação é recomendada como um auxiliar ao tratamento e não como uma substituição à orientação convencional.
Vacina Pneumo 23;Existem situações em que o uso de Vacina Pneumo 23 não é recomendado?;Esta vacina não deve ser usada em pessoas com alergia a qualquer componente do medicamento.
Paspat oral;Quais são os processos biológicos desencadeados por Paspat oral?;Paspat oral é um medicamento que tem na sua composição um lisado bacteriano das estirpes frequentemente associadas às infecções do aparelho respiratório inferior e superior, funcionando como um estimulante biológico do sistema imunológico.
Nimalgex;Há alguma condição específica em que o uso de Nimalgex é desaconselhado?;Nimalgex não deve ser utilizado por:
Sulbamox bd;Existem reações adversas conhecidas de Sulbamox bd?;De um modo geral o medicamento é bem tolerado nas doses terapêuticas indicadas pelo seu médico. As reações adversas mais freqüentes são enjôos, vômitos, diarréia, má digestão e dor no estômago. Essas reações são reversíveis e desaparecem de maneira espontânea ou com a suspensão do tratamento.Informe seu médico o aparecimento de reações desagradáveis.
Clusivol;De que maneira Clusivol deve ser administrado?;Clusivol composto pode ser misturado com água, chá, suco ou com alimentos, e tomado numa vez única ou dividida em duas vezes. Geralmente a dose recomendada é:
Salder S;Em que circunstâncias eu não deveria utilizar Salder S?;Hipersensibilidade a qualquer um dos seus componentes.
Hixizine;Quando não devo usar Hixizine?;Hixizine está contraindicado para grávidas e para pacientes com alergia ao Dicloridrato de Hidroxizina​ ou a algum dos componentes da fórmula.
Novolin N;Quais são os possíveis efeitos colaterais associados a Novolin N?;A reação adversa mais frequentemente relatada durante o tratamento é hipoglicemia.
Mesigyna;Há alguma condição específica em que o uso de Mesigyna é desaconselhado?;A Mesigyna não deve ser usada nas situações seguintes:
Giotrif;Quais são os processos biológicos desencadeados por Giotrif?;Giotrif contém afatinib que bloqueia a ação de umas substâncias presentes no câncer, impedindo que as suas células cresçam, multipliquem e invadam outros órgãos, espalhando o câncer pelo corpo.
Lipomax;Como usar Lipomax?;Recomenda-se tomar 2 cápsulas, três vezes ao dia, antes das refeições, com um copo de água.
Diabinese;Quais são as instruções para o uso correto de Diabinese?;Tratamento inicial:O paciente diabético estável de meia idade, com diabetes mellitus não dependente de insulina (DMNDI) de grau leve a moderadamente severo, deve iniciar com a dose diária de 250mg (um comprimido). Devido ao fato do paciente diabético geriátrico parecer ser mais sensível ao efeito hipoglicêmico das sulfoniluréias, seu tratamento deve ser iniciado com doses menores de Diabinese: 125 mg diários. Não é necessário um período de transição ao transferir pacientes em uso de outros hipoglicemiantes orais para Diabinese. O medicamento anterior pode ser descontinuado em qualquer ocasião, e a clorpropamida iniciada imediatamente. Ao prescrever a clorpropamida, deverá ser dada a devida consideração a sua maior potência. A grande maioria dos pacientes de meia idade com diabetes estável leve ou moderadamente severo, em tratamento com insulina, pode passar a usar diretamente a droga oral, com descontinuação imediata da insulina. Nos pacientes que necessitam de mais de 40 unidades diárias de insulina, Diabinese pode seriniciado com uma redução de 50% de insulina durante os primeiros dias, com reduções subsequentes dependendo da resposta.Durante o período de retirada da insulina, o paciente deve ser submetido a exames de urina para detecção de glicose e corpos cetônicos, pelo menos três vezes ao dia e os resultados devem ser reportados frequentemente ao médico. No caso de resultados anormais, o médico deve ser notificado imediatamente. Em alguns casos é aconselhável considerar a hospitalização durante o período de transição.Cinco a sete dias após o início do tratamento, o nível sérico de clorpropamida atinge um platô. A dosagem pode ser subsequentemente ajustada para aumento ou redução, sendo que os aumentos não deverão ser superiores a 50-125 mg em intervalos de três a cinco dias para obtenção do controle ideal. Ajustes mais frequentes em geral não são aconselháveis.Terapia de manutenção:A maioria dos pacientes de meia idade com diabetes (DMNDI) estável moderadamente severo é controlada com aproximadamente 250mg diários (um comprimido). Vários investigadores constataram que alguns pacientes com diabetes de menor intensidade são bem controlados com doses diárias de 125 mg (1/2 comprimido) ou menos. Muitos dos pacientes diabéticos mais graves podem requerer 500 mg diários (dois comprimidos) para um controle adequado.OS PACIENTES QUE NÃO RESPONDEM ADEQUADAMENTE À DOSE DE 500MG DIÁRIOS GERALMENTE NÃO RESPONDERÃO A DOSES MAIS ELEVADAS.Doses de manutenção superiores a 750mg diários (três comprimidos) devem ser evitadas.
Addera D3 gotas;Há alguma condição específica em que o uso de Addera D3 gotas é desaconselhado?;O Addera D3 em gotas não deve ser utilizado em pacientes que apresentam hipersensibilidade aos componentes da fórmula.
Cymbalta;De que maneira Cymbalta deve ser administrado?;Cymbalta existe sob a forma de comprimidos que se destinam a ser tomados por via oral inteiros com água, independentemente das refeições.
Valmane;Qual é o propósito principal de Valmane na área da saúde?;Indicado para problemas de sono, como dificuldade em adormecer e agitação durante o sono. Pode ser usado também como tranquilizante para tratar stress e ansiedade.
Sabril 500 mg;Quais são as orientações específicas para utilizar Sabril 500 mg?;Tratamento da epilepsia:
Maxidrate;Quais são os possíveis efeitos colaterais associados a Maxidrate?;Em alguns casos, foi observada nos primeiros dias de uso do medicamento a ocorrência de ardência na mucosa nasal, que desapareceu após alguns dias de utilização do medicamento. Esta tende a ocorrer com maior frequência quando o paciente aspira diretamente o gel nasal, evento que deve ser evitado por meio de uma leve massagem da lateral do nariz após a aplicação.Não existem registros de efeitos adversos com o uso deste medicamento.Informe ao médico ou cirurgião-dentista o aparecimento de reações indesejáveis.
Arnica Weleda;Quais são os possíveis efeitos colaterais associados a Arnica Weleda?;Ainda não são conhecidas a intensidade e frequência de efeitos colaterais.
Adalat;Quais são os processos biológicos desencadeados por Adalat?;Adalat cápsulas, Adalat retard e Adalat oros, têm na sua composição a substância ativa o Nifedipino.
Flebon;Há alguma condição específica em que o uso de Flebon é desaconselhado?;Flebon está contraindicado para pacientes com alergia aos extratos de Pinus pinaster​ ou a algum dos componentes da fórmula.
Dasten;Quais são os potenciais efeitos indesejados de Dasten?;Boca seca, constipação, nervosismo e insônia, devidos em parte à mudança dos hábitos alimentares e que poderão ser controlados mediante redução da dose, sendo mais freqüentes em pessoas sensíveis à substância. Recomenda-se uma reavaliação do paciente pelo médico assistente, caso ocorram palpitações, taquicardias, enjôos, náuseas, sintomas estes comuns ao uso dos moderadores de apetite em geral.
Boldine;Em que situações médicas é recomendado o uso de Boldine?;Boldine é indicado para o tratamento de distúrbios digestivos leves, atuando na redução de espasmos intestinais e tratamento de distúrbios hepatobiliares, com ação colagoga e colerética.
Cápsulas de Goji Berry;Qual é o mecanismo de ação de Cápsulas de Goji Berry?;Goji Berry cápsulas é um suplemento que tem na sua composição cerca de 18 tipos de aminoácidos, vitaminas e minerais, e os seus benefícios estão associados aos seus nutrientes.
Clomid 50 mg;Quais são as contraindicações para Clomid 50 mg?;Não deve ser usado por mulheres grávidas ou que estejam a amamentar e por pessoas com alergia a qualquer componente da fórmula.
Agasten;Qual é a finalidade do medicamento Agasten?;Agasten xarope ou comprimido é indicado para o tratamento dos sinais e sintomas de reações alérgicas na pele, rinite alérgica e picadas de insetos, em adultos e crianças.
Imosec;Quais são as instruções para o uso correto de Imosec?;O seguinte esquema médico é recomendado:
Ansiodoron;Quais são as contraindicações para Ansiodoron?;Ansiodoron está contraindicado para pacientes com alergia a algum dos componentes da fórmula.
Naxogin 500;Quais são as contraindicações para Naxogin 500?;O Naxogin 500 não deve ser administrado na gravidez.
Fenergan xarope;Qual é a posologia recomendada para Fenergan xarope?;A dose recomendada para adultos é de 1 ou 2 colheres de chá, a cada 2 ou 3 horas. Para alívio das tosses noturnas, basta uma dose de 2 colheres de chá antes de deitar.
Sonebon;Como usar Sonebon?;"Adultos: 1 a 2 comprimidos ao deitar. Pessoas idosas: 1/2 a 1 comprimido ao deitar. Crianças acima dos 6 anos: de 6 a 10 anos usar 1/4 a 1/2 comprimido ao deitar; acima de 10 anos usar 1/2 a 1 comprimido ao deitar. Se o efeito desejado for alcançado, deve-se diminuir a posologia, por exemplo, à metade. Uma posologia menor pode ser suficiente. - Superdosagem: geralmente não produz efeitos colaterais sérios, mas dependendo da quantidade ingerida pode chegar a produzir até sono profundo ou coma. Recomenda-se suspender imediatamente o medicamento. As medidas a serem tomadas incluem lavagem gástrica, seguida dos cuidados de suporte, monitoramento dos signos vitais e observação do paciente."
Adesivo Dorflex Icy Hot;Para que serve Adesivo Dorflex Icy Hot?;Dorflex Icy Hot é indicado para o tratamento de situações onde há dor e inflamação como contusões ou traumas, dores musculares, cãibras ou torcicolos, em adultos.
Livalo;Quando não devo usar Livalo?;Livalo está contraindicado para mulheres grávidas, em idade fértil ou amamentando, pacientes com doença no fígado, pacientes em tratamento com ciclosporina e para pacientes com alergia a algum dos componentes da fórmula.
Enoxalow;De que maneira Enoxalow deve ser administrado?;AdultosPrevenção da coagulação do circuito extracorpóreo durante a hemodiálise. Recomenda-se a dose de 1 mg/Kg de enoxaparina sódica aplicada na parte arterial do circuito (via intravenosa) ao ser iniciada a sessão de hemodiálise.Como usar:Este medicamento é apresentado em seringas de 20mg, 40 mg, 60mg, 80mg e 100mg e deve ser utilizado por via intravenosa. Os medicamentos parenterais devem ser inspecionados visualmente para se detectar partículas ou mudança de coloração antes da administração.
Xenical;Em que situações médicas é recomendado o uso de Xenical?;Xenical está indicado para o tratamento a longo prazo de pacientes com sobrepeso ou obesidade, incluindo pacientes com fatores de risco associados à obesidade, em conjunto com uma dieta levemente hipocalórica.
Oximax;Para que serve Oximax?;Oximax 200 μg e Oximax 400 μg está indicado para o controle dos sinais e sintomas no tratamento e na profilaxia da asma.
Trifedrin;O que Trifedrin pretende tratar?;"Trifedrin Xarope Infantil é indicado para o alívio sintomático da tosse em lactentes e crianças, nas seguintes condições: resfriados comuns, bronquite aguda e crônica, asma alérgica, bronquiolite, ""crupe"" e traqueobronquite."
Vitacid Plus;Quais são as orientações específicas para utilizar Vitacid Plus?;O creme deve ser utilizado à noite, 30 minutos antes de deitar.
Azimix comprimidos;Como Azimix comprimidos atua no organismo para produzir seus efeitos?;O Azimix contém azitromicina que é uma substância capaz de se ligar às bactérias que estão causando infecção e impedir a formação de proteínas. Desta forma, a bactéria deixa de ter as proteínas necessárias para se multiplicar, acabando por morrer e desaparecer.
Euforin;Para que serve Euforin?;Na fadiga física e mental. Adjuvante no tratamento dos estados patológicos complicados de hiperamoniemia, cirroses e insuficiências hepáticas, hepatite por vírus. Queimaduras graves. Infecções graves.
Exluton anticoncepcional;Como Exluton anticoncepcional atua no organismo para produzir seus efeitos?;O Exluton é considerado uma minipílula porque tem na sua composição apenas progestagênio que age prevenindo que as células do esperma penetrem no útero e impedem em 70 % dos casos que ocorra ovulação.
Psorex;Quais são as contraindicações para Psorex?;Não deve ser usado em crianças com menos de 1 ano de idade, mulheres grávidas ou que estejam a amamentar e pessoas com alergia a qualquer componente da fórmula.
Niar;Qual é a posologia recomendada para Niar?;"Em associação com a levodopa ou com as associações da levodopa + inibidores da descarboxilase: posologia inicial de ½ ou 1 comprimido ao dia, pela manhã ou em duas administrações diárias. nos pacientes que apresentam discinesias, acinesias e fenômenos de flutuações (""on-off""): a dose de manutenção, geralmente, é dedois comprimidos ao dia.Para aqueles pacientes que recebem doses máximas de levodopa e inibidor periférico sem obter benefícios terapêuticos satisfatórios, agregar selegilina diretamente ao tratamento usual do paciente com o mesmo esquema anterior. caso haja efeitos adversos da l-dopa, reduzir esta ã medida que se chega à dose ótima de selegilina. doses maiores que 10mg/dia não são mais eficazes e podem levar a reação hipertensiva mediada pela tiramina."
Dermotivin Control;O que Dermotivin Control pretende tratar?;Dermotivin control é uma gama de produtos indicados para a higiene da pele muito oleosa.
Glifage;Em que situações médicas é recomendado o uso de Glifage?;Glifage ou Glifage XR é indicado para o tratamento da diabetes do tipo 2 ou no tratamento da diabetes tipo 1 quando associado ao tratamento com insulina, em adultos. Além disso, Glifage ​ou Glifage XR também é indicado para casos de Síndrome dos Ovários Policísticos, no tratamento do excesso do peso frequentemente associado a esta condição.
Selozok;Quais os males que Selozok pode me causar?;As reacções adversas mais comuns são alterações do batimento cardíaco, mãos e pés frios, cansaço, fraqueza, náuseas, vômitos ou diarreia.
Lioresal 10 mg;Existem situações em que o uso de Lioresal 10 mg não é recomendado?;Este medicamento não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes presentes na fórmula.
Gynotran;Como funciona Gynotran?;Gynotran é um medicamento que tem na sua composição Metronidazol e Nitrato de Miconazol, compostos responsáveis pelas suas propriedades antimicóticas, antibacterianas e anti-tricomoniásicas, sendo assim eficaz contra fungos, bactérias e Trichomonas.
Sonebon 5 mg;Para que serve Sonebon 5 mg?;Sonebon é indicado para tratamento da insônia, qualquer que seja a sua etiologia.
Naturetti;De que maneira Naturetti deve ser administrado?;Adultos e crianças acima de 8 anos - 1 cápsula ao deitar. Em algumas pessoas pode ser necessário o uso de 2 cápsulas por dia (o aumento da dosagem deve ser acompanhado pelo médico).
Kolpitrat Creme;De que maneira Kolpitrat Creme deve ser administrado?;Introduzir um aplicador cheio (4 g) por noite, profundamente na vagina, durante 10 dias consecutivos
Cataflam Sport Ice;Qual é o mecanismo de ação de Cataflam Sport Ice?;A ação gelada em spray provoca resfriamento do local, aliviando a dor e reduzindo o inchaço e a vermelhidão.
Lorax;Quais são os riscos para a saúde relacionados ao uso de Lorax?;Lorax  pode causar efeitos colaterais tais como:
Fresh Clear Solução oftálmica;Quando não devo usar Fresh Clear Solução oftálmica?;Fresh Clear Solução oftálmica está contraindicado para crianças, pacientes com glaucoma de ângulo fechado e para pacientes com alergia ao cloridrato de fenilefrina​, ao álcool polivinílico​ ou a algum dos componentes da fórmula.
Gilenya;Quais os males que Gilenya pode me causar?;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são bronquite com sintomas como tosse com catarro, dor no peito e febre, gastroenterite com sintomas como vômitos, náuseas, diarreia e febre, infecções por vírus da herpes com sintomas como bolhas, ardor, coceira ou dor ao redor da boca ou genitais e frequência cardíaca baixa.
Helmiben;Em que situações médicas é recomendado o uso de Helmiben?;Helmiben ou Helmiben NF é indicado para o tratamento de infeções simples ou mistas causadas por vermes e parasitas, em adultos e crianças.
Azelan;Qual é o propósito principal de Azelan na área da saúde?;O Azelan creme é indicado para o tratamento da acne vulgar, manifestada por comedões, pápulas, pústulas e cistos.
Bontoss xarope;Existem situações em que o uso de Bontoss xarope não é recomendado?;O Bontoss xarope não deve ser usado em pessoas com alergia à bromexina ou a outro componente do xarope. Também não deve ser usado em pessoas com intolerância à frutose.
Aspirina;Quais são as orientações específicas para utilizar Aspirina?;A dosagem e duração do tratamento devem ser sempre indicados pelo médico, sendo normalmente:
Zometa;Quais os males que Zometa pode me causar?;"Como todos medicamentos, Zometa pode causar alguns eventos adversos. Os mais comuns são normalmente leves e provavelmente desaparecerão após um curto período de tempo. Os seguintes eventos adversos foram relatados: Se qualquer um dos eventos adversos se tornar grave, avise seu médico. Muito comum (afetando mais de 1 em cada 10 pacientes) • Nível baixo de fosfato no sangue Comum (afetando menos de 1 em cada 10 pacientes) • Dor de cabeça e sintomas de gripe como febre, fadiga, fraqueza, sonolência, calafrios e dores ósseas, musculares e nas juntas; Reações gastrintestinais tais como náuseas, vômitos, e perda de apetite. Nível baixo de células vermelhas (anemia);  Nível baixo de cálcio no sangue; Dores ósseas, musculares, nas juntas e generalizadas. exames sanguíneos indicando alterações na função renal (níveis mais altos de creatinina); Conjuntivite, como relatado com outros bisfosfonatos (o grupo de substâncias no qual o Zometa pertence).Incomum (afetando menos de 1 em cada 100 pacientes) • Dor na boca, nos dentes e na mandíbula, feridas ou inchaço no interior da boca, dormência ou “sensação de mandíbula pesada” ou dente mole. Estes podem ser sinais de dano ósseo da mandíbula (osteonecrose). Se você sentir qualquer um destes sintomas, avise seu oncologista ou dentista imediatamente; Alterações na função renal incluindo insuficiência renal grave. Tais alterações também são conhecidas por ocorrer com outros medicamentos deste tipo. Adicionalmente, casos de doença renal foram reportados; Reações de hipersensibilidade.; Pressão arterial baixa; Dor no peito; Reações cutâneas (vermelhidão e inchaço) no local da injeção, erupção cutânea (rash), coceira; pressão arterial alta; Dificuldade de respirar; Tontura; Distúrbios do sono; Formigamento ou dormência nas mãos ou nos pés; Diarréia; Contagem baixa de células brancas e de plaquetas;  Nível baixo de magnésio e de potássio no sangue. Seu médico irá monitorá-lo e tomar as medidas necessárias. Raras (afetando menos de 1 em cada 1000 pacientes) • Inchaço principalmente na face e garganta; Nível alto de potássio e sódio no sangue; Batimento cardíaco lento; Confusão; Casos muito raros (afetando menos de 1 em cada 10000 pacientes) • Desmaio devido a pressão arterial baixa; Dores graves e ocasionalmente incapacitante nos ossos, juntas e músculos;  Sonolência; Batimento cardíaco irregular; Dificuldade de respirar com chiado ou tosse; Olhos vermelhos e doloridos; Reação alérgica grave; Erupção cutânea (rash) com coceira. Também foi observado ritmo cardíaco irregular (fibrilação atrial) em pacientes recebendo ácido zoledrônico 5 mg para osteoporose na pós-menopausa. Atualmente não está claro se o ácido zoledrônico causa este ritmo cardíaco irregular mas você deve informar seu médico se sentir tais sintomas após ter recebido ácido zoledrônico. Outros bisfosfonatos podem causar dificuldades de respiração em pacientes com asma que são alérgicos à aspirina. Entretanto, nenhum destes casos foi relatados com o uso de Zometa."
Viticromin;Como funciona Viticromin?;Viticromin é um remédio fitoterápico que aumenta a pigmentação da pele, pois apresenta uma ação foto-sembilizante.
Parlodel;Existem reações adversas conhecidas de Parlodel?;"Algumas pessoas podem apresentar efeitos colaterais durante o tratamento com Parlodel/Parlodel SRO.Alguns efeitos podem ser graves:• Azia, dor no estômago recorrente ou fezes escuras;• Início súbito de sono;• Diminuição inexplicada da freqüência respiratória e dificuldade em respirar;• Dor grave no peito;• Dor lombar, inchaço nas pernas e dor ao urinar;• Dor de cabeça grave, progressiva ou persistente e, ou problemas com sua visão (tal como visão borrada);• Sintomas tais como rigidez muscular, agitação, febre muito alta, ritmo cardíaco acelerado e flutuações extremas na pressão sangüínea;• Um problema específico do coração denominado fibrose da válvula cardíaca.Se você apresentar alguns destes sintomas, avise seu médico imediatamente.Outros efeitos colaterais:Comum (menor que 1 em cada 10 pessoas, mas maior que 1 em cada 100 pessoas): dor de cabeça, sonolência, vertigem, congestão nasal, constipação, vômitos.Incomum (menor que 1 em cada 100 pessoas, mas maior do que 1 em cada 1.000 pessoas): reações alérgicas na pele, queda de cabelo, confusão, agitação psicomotora, alucinações (visão, audição, olfato ou sensação de coisas que não estão ali), secura da boca, discinesia (dificuldade na performance dos movimentos voluntários), cansaço, baixa pressão sangüínea especialmente quando você se levanta e pode ocasionalmente levar ao desmaio, câimbras nas pernas.Rara (menor que 1 em cada 1.000 pessoas): diarréia, dor no estômago ou abdômen, inchaço dos braços e das pernas, batimento cardíaco acelerado, batimento cardíaco lento, batimento cardíaco irregular, diminuição da freqüência da respiração ou dificuldade em respirar, desordens psicóticas/psíquicas, distúrbios do sono (insônia), sonolência, formigamento ou entorpecimento das mãos ou pés (parestesia), zumbido nos ouvidos.Muito rara (menor que 1 em cada 10.000 pessoas): sonolência excessiva durante o dia, dedos das mãos e dos pés pálidos quando expostos ao frio, aumento do interesse sexual.Em mulheres após o parto ou aborto, têm sido relatados casos raros de hipertensão, infarto do miocárdio, apreensão, ataque ou desordens psíquicas. Entretanto, a relação causal destes efeitos para Parlodel é incerta.Se alguns destes efeitos afetar você gravemente, diga ao seu médico.Se você perceber qualquer outro efeito colateral não mencionado nesta bula, por favor informe seu médico ou farmacêutico.Informe ao seu médico ou cirurgião-dentista o aparecimento de reações indesejáveis."
Xylocaína;Qual é o propósito principal de Xylocaína na área da saúde?;Xylocaína gel é indicada como anestésico de superfície e lubrificante durante procedimentos endouretrais, e no tratamento da dor associada a cistite ou uretrite, em homens e mulheres.
Postafen;Qual é a posologia recomendada para Postafen?;O postafen deve ser tomado inteiro, com um líquido, 3 vezes ao dia.
Elani Ciclo;Existem situações em que o uso de Elani Ciclo não é recomendado?;Não usar em caso de suspeita de gravidez ou durante a gestação, período de amamentação ou por pessoas com alergia a qualquer componente da fórmula.
Uno ciclo;Em que situações médicas é recomendado o uso de Uno ciclo?;Anticoncepcional injetável de uso mensal. Uno-Ciclo pode ser utilizado também no controle das irregularidades menstruais e como medicação supletiva estrogenoprogestacional, a critério médico.
Guttalax;Existem reações adversas conhecidas de Guttalax?;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são diarreia, cólicas abdominais, dor abdominal e desconforto abdominal.
Nutraplus Loção;O que Nutraplus Loção pretende tratar?;"No tratamento da pele seca e áspera; hiperqueratose palmar e plantar (espessamento da pele das palmas das mãos e pés); ictiose vulgar (doença caracterizada por ressecamento e descamação da pele)."
Neosaldina;Qual é a finalidade do medicamento Neosaldina?;Neosaldina é indicada para o tratamento de diversos tipos de dores de cabeça, como a dor de cabeça tensional ou enxaqueca e para o tratamento das cólicas, em adultos e crianças com mais de 12 anos de idade.
Aerogold;Quais são os possíveis efeitos colaterais associados a Aerogold?;Alguns dos efeitos colaterais de Aerogold​ podem incluir aumento dos batimentos do coração, tremores ligeiros e dor de cabeça.
Lotensin;Em que situações médicas é recomendado o uso de Lotensin?;O Lotensin é um remédio usado no tratamento da hipertensão arterial e no tratamento adjuvante da insuficiência cardíaca congestiva.
Gino;Quais os males que Gino pode me causar?;Como qualquer medicamento, Gino-Canesten 1 comprimido vaginal pode provocar efeitos colaterais.
Miocardil;Em que situações médicas é recomendado o uso de Miocardil?;_Profilaxia e terapêutica do déficit neurológico isquêmico devido a vasoespasmo cerebral após hemorragia subaracnóide. A NIMODIPINA está indicada também nos casos de insuficiência vascular cerebral crônica, principalmente em pacientes idosos, na cefaléia e no tratamento profilático da enxaqueca.
Pyverm;Quando não devo usar Pyverm?;Pyverm é contraindicado em casos de hipersensibilidade ao embonato de pirvínio ou qualquer componente da fórmula.
Pasalix;Quais são os possíveis efeitos colaterais associados a Pasalix?;Os efeitos colaterais mais comuns que podem ocorrer com Pasalix são dor de estômago, enjoos, suor excessivo, coceira generalizada, sedação e tontura.
Rafex;Em que situações médicas é recomendado o uso de Rafex?;Rafex está indicado como anti-histamínico no tratamento das manifestações alérgicas, tais como rinite alérgica e urticária.
Frademicina;Em que circunstâncias eu não deveria utilizar Frademicina?;Pacientes hipersensíveis a lincomicina ou a clindamicina. No tratamento de infecções bacterianas leves ou por virus.
Regulare;Quando não devo usar Regulare?;Na bula de Regulare não são referidas contraindicações do produto.
Domperix;Em que situações médicas é recomendado o uso de Domperix?;Domperix é indicado para o tratamento de problemas no estômago e de digestão, como esvaziamento gástrico, refluxo gastroesofágico e esofagite, em adultos.
Zyprexa comprimidos;Qual é a finalidade do medicamento Zyprexa comprimidos?;O Zyprexa é indicado para o tratamento agudo e de manutenção da esquizofrenia e outros transtornos mentais em adultos, nos quais sintomas positivos e sintomas negativos são proeminentes.
Proctium;Existem situações em que o uso de Proctium não é recomendado?;Tuberculose ativa, processos treponêmicos ativos e dermatite virásica. Alergia conhecida aos componentes da fórmula. - Advertências: o uso tópico de corticóides pode mascarar os sinais e sintomas de eventual contaminação da lesão por bactérias, fungos ou vírus. Interações medicamentosas: a lidocaína deve ser usada com cuidado em pacientes tratados com antiarrítmicos, como a tocainida, pois há adição de efeitos tóxicos.
