Nome;Para que serve?;Como usar?;Quais os males que pode me causar?;Quando não devo usar?;Como funciona?;O que devo saber antes de usar?;O que fazer se alguém usar uma quantidade maior do que a indicada?;Onde como e por quanto tempo posso guardar?;Laboratório
Acheflan spray;É indicado para aliviar dores musculares e inchaço associado a artrose. Além disso, também reduz a inflamação nos tendões.;Aplicar diretamente no local da dor, numa região da pele sem feridas, 3 vezes ao dia, durante o tempo recomendado pelo médico.;Não existem relatos de efeitos colaterais com o uso deste remédio.;Não deve ser usado durante a gravidez ou amamentação, por crianças com menos de 12 anos e em caso de alergia a qualquer componente da fórmula. Se existir feridas na pele, queimadura ou infecção, a aplicação do Acheflan também está contraindicada.;Ancheflan contém na sua fórmula Cordia verbenacea, um extrato de plantas que tem efeito anti-inflamatório, agindo no alívio de dores, vermelhidão e inchaço associado à inflamação dos músculos e tendões.;Durante a aplicação do spay, é necessário ter cuidado com os olhos, nariz ou boca para não causar irritação. No caso de isso acontecer, deve-se lavar o local com água abundantemente.;No caso de se aplicar uma dose superior à indicada, deve-se lavar muito bem o local com água. Já no caso de se ingerir acidentalmente o medicamento, deve-se consultar imediatamente o médico.;Deve ser conservado à temperatura ambiente, entre os 15ºC e os 30ºC, protegido da luz e umidade, até à data de validade indicada na embalagem.;
Acnesoap sabonete;O Acnesoap é um produto indicado para auxiliar no tratamento da acne, por isso é indicado frequentemente por dermatologistas.;O sabonete acnesoap deve ser utilizado da seguinte forma:;;O sabonete acnesoap não deve ser utilizado por pessoas alérgicas a qualquer um dos componentes da fórmula.;O Sabonete Acnesoap tem uma composição neutra, especialmente desenvolvido para tratar a acne, visto que ajuda a limpar suavemente, mas com eficácia, eliminando a oleosidade excessiva da pele sem a danificar a pele.;;;;
Actemra 80 e 200 mg;O Actemra 80 ou 200 mg é indicado para o tratamento da artrite reumatoide em atividade, em adultos.;As quantidades de Actemra a utilizar e a duração do tratamento devem ser indicadas pelo seu, pois dependem do problema a tratar, da idade e resposta individual ao tratamento.;Alguns dos efeitos colaterais de Actemra podem incluir infecções de vias aéreas superiores, celulite, herpes simples oral, herpes zóster, dor na região da barriga, aftas, gastrite, urticária na pele, coceira, dor de cabeça, tontura, aumento de enzimas do figado, aumento da pressão, alterações nos resultados dos exames de sangue, aumento dos níveis de colesterol, aumento de peso, inchaço reações de alergia, reação no local de administração, tosse, falta de ar e conjuntivite.;Actemra está contraindicado para pessoas em tratamento com outros medicamentos biológicos para artrite reumatoide, com infecções graves ativas, ou com alergia ao Tocilizumabe ou a outros componentes da fórmula.;Actemra é um medicamento que tem na sua composição Tocilizumabe, um composto que faz parte dos novos medicamentos antirreumáticos modificadores da doença, com origem biológica.;Antes de usar Actemra​, deve-se falar com o médico se a pessoa estiver gravida ou a amamentar, precisar de dar vacinas, tiver doenças ou alteração no funcionamento do fígado, doenças no coração, diabetes ou se estiver a tomar outros medicamentos.;Em caso de toma excessiva de Actemra, deve-se ir ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Actifedrin xarope e comprimidos;Actifedrin é um antialérgico encontrado na forma de xarope e comprimidos indicado para rinites, em adultos e crianças com mais de 2 anos de idade.;Actifedrin xarope;Alguns dos efeitos colaterais de Actifedrin incluem sonolência, dificuldade em respirar, agitação, dificuldade para dormir, alucinações, urticária na pele, batimento rápido do coração, ressecamento de boca, nariz e garganta e dificuldade em urinar.;Actifedrin está contraindicado para crianças com menos de 2 anos de idade, mulheres grávidas ou amamentando, pacientes em tratamento com antidepressivos ou com medicamentos à base de furazolidona, pacientes com pressão alta, diabetes, acumulo de colesterol e para pacientes com alergia ao Cloridrato de Triprolidina, ao Cloridrato de Pseudoefedrina ou a outros componentes da fórmula.;Actifedrin é um medicamento que tem na sua composição triprolidina e pseudoefedrina, compostos com propriedades anti-alérgicas e descongestionantes. A triprolidina alivia os sintomas característicos das reações alérgicas e a pseudoefedrina promove o descongestionamento nasal.;Antes de usar Actifedrin​, deverá falar com o seu médico se tiver pressão alta, doença cardíaca, diabetes, hipertireoidismo, pressão intraocular elevada, hipertrofia da próstata ou se tiver problemas ou doenças nos rins ou fígado.;Em caso de toma excessiva de Actifedrin​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Actifedrin podem ser sonolência, perda temporária ou completa da sensibilidade e do movimento, tontura, fraqueza, falta de ar, ressecamento da pele e mucosas, batimento rápido do coração, pressão alta, irritabilidade, convulsões e dificuldade de urinar.;;
Activelle;Terapia de Reposição Hormonal para os sintomas de deficiência estrogênica, em mulheres na menopausa há mais de um ano. Prevenção da osteoporose em mulheres na pós-menopausa. A experiência no tratamento de mulheres com mais de 65 anos é limitada.;Activelle  (Estradiol - Acetato de noretisterona) é um medicamento de administração contínua, que contém estrogênio e progestogênio combinados, para ser administrado à mulheres com útero intacto. Deve-se ingerir um comprimido de Activelle  (Estradiol - Acetato de noretisterona) ao dia, sem interrupções, preferivelmente no mesmo horário do dia. A Terapia de Reposição Hormonal (TRH) para a prevenção de osteoporose da pós-menopausa deve levar em consideração os efeitos esperados sobre a massa óssea, que são dose-relacionados, e a tolerabilidade individual ao tratamento. Uma mudança para um produto de combinação com dose maior pode ser indicada se a resposta  após três meses para o alívio satisfatório dos sintomas for insuficiente. Em mulheres com amenorréia e que não estejam sob TRH ou em mulheres que estejam se transferindo de um outro produto de TRH combinado de uso contínuo, o tratamento com Activelle  (Estradiol - Acetato de noretisterona) pode ser iniciado no dia em que for mais conveniente. Em mulheres que estejam se transferindo de regimes seqüenciais de TRH, o tratamento deve ser iniciado logo após o término do sangramento. Instruções de uso1. Gire o disco interno (onde estão marcados os dias da semana), ajustando a posição da pequena lingüeta plástica ao dia da semana desejado.2. Para retirar o primeiro comprimido, quebre a lingüeta plástica e retire o comprimido. 3. Diariamente, mova um espaço do disco plástico transparente, em sentido horário como indicado pela seta, retire o próximo comprimido e ingira-o. O disco plástico transparente só pode ser movido após o comprimido ser retirado da abertura.;"O evento adverso mais freqüentemente relatado durante o tratamento em ensaios clínicos foi a sensibilidade na mama, que foi relatada principalmente durante os meses iniciais do tratamento. Outros eventos adversos associados ao tratamento com estrógeno-progesterona foram relatados com Activelle  (Estradiol - Acetato de noretisterona) em ensaios  clínicos: dor de cabeça, sangramento vaginal, dor abdominal, náusea, flatulência, aumento da mama, aumento do tamanho dos fibróides uterinos, erupção cutânea e prurido, insônia, depressão, tromboembolismo venoso e edema.  Eventos adversos adicionais associados ao tratamento com estrógeno-progesterona:   -gastrointestinal: dispepsia, vômito, gases, doença da vesícula biliar, pedras na vesícula; -pele: queda de cabelo, hirsutismo; -Sistema Nervoso Central: cefaléia, vertigem; -urogenital: candidíase vaginal; -cardiovascular: aumento da pressão sangüínea; -diversos: aumento ou diminuição de peso, alterações na libido, cãibras nas pernas. Casos excepcionais de cloasma, eritema multiforme, eritema nodoso e erupção hemorrágica têm sido relatados em mulheres sob Terapia de Reposição Hormonal (TRH).";- Gravidez ou suspeita de gravidez - Lactação - Conhecimento, suspeita ou histórico anterior de câncer de mama- Conhecimento ou suspeita de tumores dependentes de estrógeno- Sangramento vaginal não diagnosticado - Processos tromboembólicos ativos ou recentes - Doença hepática aguda ou crônica ou histórico de doença hepática, desde que os testes de função hepática não tenham  retornado ao normal - Hipersensibilidade conhecida a qualquer componente do produto;;"Antes de iniciar ou reinstituir a Terapia de Reposição Hormonal (TRH), deve-se realizar um histórico médico pessoal e familiar completo, juntamente com um exame geral e ginecológico  orientado de acordo com as contra-indicações e precauções quanto ao uso.  Durante o tratamento são recomendados exames periódicos, cuja freqüência e natureza dependem de cada mulher. Com o tempo, deve-se realizar uma avaliação cuidadosa da relação risco/benefício em mulheres sob terapia com estrógeno/progesterona. Caso qualquer uma das seguintes condições esteja presente, tenha ocorrido anteriormente, e/ou tenha sido agravada em decorrência de uma gravidez  ou de um tratamento hormonal prévio, os benefícios do tratamento devem ser avaliados em relação aos possíveis riscos. Nesses casos, as pacientes devem ser cuidadosamente supervisionadas. Deve-se levar em consideração que essas condições podem, em raros casos, ocorrer novamente  ou se agravar durante o tratamento com Activelle (Estradiol - Acetato de noretisterona): - histórico de tumores dependentes de estrógeno; - leiomioma, endometriose, hiperplasia do endométrio; - doença fibrocística de mama; - histórico de distúrbios tromboembólicos ou presença de fatores de risco (vide abaixo); - hipertensão; - diabetes mellitus com comprometimento vascular; - distúrbios hepáticos (por exemplo: porfiria, adenoma hepático); - colelitíase; - otosclerose; - enxaqueca ou dor de cabeça (grave). Os estrógenos podem causar retenção de fluidos e, portanto, pacientes com disfunção cardíaca ou renal devem ser cautelosamente observadas. Pacientes com doença renal em estágio terminal devem ser cuidadosamente monitoradas, pois espera-se um aumento dos níveis circulantes dos componentes ativos de Activelle (Estradiol - Acetato de noretisterona).  No caso de agravamento da asma, da epilepsia ou do  diabetes mellitus, a TRH deve ser reconsiderada. Estudos epidemiológicos sugerem que a TRH está associada a um risco relativamente alto de desenvolvimento de tromboembolismo venoso (TEV), ou seja, trombose venosa profunda ou embolia pulmonar. Os estudos relataram um risco 2 a 3 vezes maior para mulheres sob TRH comparadas àquelas que não estão sob TRH, o que para mulheres sadias representa 1 caso extra de TEV para cada 5000 pacientes sob TRH. Os fatores de risco geralmente reconhecidos para o TEV incluem um histórico pessoal ou familiar, obesidade grave (Índice de Massa Corporal > 30 kg/m2) e lúpus eritematoso sistêmico. Em mulheres que apresentam fatores de risco, os benefícios do tratamento com TRH devem ser cuidadosamente avaliados contra os riscos. Não existe um consenso com relação ao possível papel das veias varicosas no TEV. O risco de TEV pode aumentar temporariamente com a imobilização prolongada, traumas maiores ou cirurgia maior. Assim como em todos os pacientes de pós-operatório, deve-se dar uma atenção especial às medidas profiláticas, a fim de se evitar um TEV pós-cirúrgico. Quando a imobilização  prolongada for passível de ocorrer após uma cirurgia eletiva, especialmente no caso de cirurgia abdominal ou ortopédica dos membros inferiores, deve-se considerar, se possível, a interrupção temporária da TRH por quatro a seis semanas antes da cirurgia. Se ocorrer TEV após o início da terapia, deve-se interromper a administração do medicamento. A utilização da TRH por mais de cinco anos está associada ao aumento do risco de câncer de mama. O risco aumenta com o tempo de tratamento e diminui após a interrupção, de modo que o risco de câncer de mama está no mesmo nível de mulheres não tratadas cinco anos após a interrupção. Os cânceres de mama que ocorrem em mulheres sob TRH tendem a ser mais limitados do que aqueles que ocorrem em mulheres que não estão sob TRH. Os achados podem ser devidos a um diagnóstico precoce, efeitos biológicos da TRH ou uma combinação de ambos. O aumento absoluto no risco é de pequeno a moderado. Entre os 50 e 70 anos de idade, aproximadamente 45 mulheres em cada 1000 irão apresentar um diagnóstico de câncer de mama. Dentre as que utilizam a TRH por 5 anos, 2 casos extra de câncer de mama em cada 1000 serão detectados para a mesma faixa etária. Para aquelas mulheres que utilizam a TRH por 10 a 15 anos, haverá 6 e 12 casos extra de câncer de mama, respectivamente, em cada 1000 mulheres. O exame regular da mama e quando necessária, a mamografia, devem ser realizados em mulheres sob TRH. A condição da mama também deve ser cuidadosamente monitorada em mulheres com histórico ou conhecimento de nódulos mamários, doença fibrocística ou com histórico familiar de câncer de mama. Tem sido relatado que há um aumento no risco de doença da vesícula biliar confirmada cirurgicamente, em mulheres na pós-menopausa que estejam recebendo estrógenos. Tem sido relatado um aumento no risco de desenvolvimento de lúpus eritematoso sistêmico durante a TRH.  A utilização de estrógeno pode influenciar os resultados de determinados testes de função endócrina e hepática. Freqüentemente ocorre sangramento de privação e manchas durante os meses iniciais de tratamento. Se em qualquer momento o sangramento ou mancha for  inaceitável, deve-se suspender a administração de Activelle (Estradiol - Acetato de noretisterona). Se houver  recidiva do sangramento após um período de amenorréia ou se persistir após o tratamento ter sido suspenso, deve-se investigar a etiologia do sangramento. Isso inclui uma biópsia endometrial. Contraceptivo Activelle  (Estradiol - Acetato de noretisterona) não apresenta efeito contraceptivo.  Gravidez e Amamentação Activelle(Estradiol - Acetato de noretisterona) é contra-indicado durante a gravidez e lactação. Efeitos sobre a habilidade de dirigir ou operar máquinas: Não são conhecidos efeitos.";Em caso de superdosagem, poderá ocorrer náusea e vômito. Não existe antídoto específico e o tratamento deverá ser sintomático.;Activelle (Estradiol - Acetato de noretisterona) deve ser conservado em temperatura ambiente, em local seco e ao abrigo da luz.  • Prazo de validade: O seu prazo de validade é de 24 meses e encontra-se gravado na embalagem externa e no estojo calendário. Verifique sempre o prazo de validade do medicamento antes de usá-lo. Nunca use medicamento com o prazo de validade vencido, pois pode ser prejudicial à sua saúde.;Fabricado por:NOVO NORDISK A/S Novo Allé DK-2880 Bagsvaerd Dinamarca Distribuído por: MEDLEY S. A. Indústria Farmacêutica Rua Macedo Costa, 55 – Campinas – SP C.N.P.J.: 50.929.710/0001-79 Indústria Brasileira
Actonel;O Actonel está indicado na prevenção da osteoporose em mulheres com risco aumentado de virem a desenvolver este problema, seja por apresentarem baixa massa óssea, menopausa precoce ou histórico de familiares com este problema, e no tratamento de osteoporose em mulheres em período pós-menopausa.;A dose recomendada é de 35 mg, uma vez por semana, ingerida sempre no mesmo dia de cada semana.;O uso de Actonel pode provocar efeitos secundários como má digestão, má disposição, dores e desconforto no estômago, prisão de ventre, gases, diarreia, dores nos ossos, nos músculos, nas articulações e na cabeça.;Este medicamento não poderá ser utilizado em pessoas com alergia ao risedronato de sódio ou a qualquer outro componente da fórmula.;O Actonel pertence a um grupo de fármacos não hormonais denominados bifosfonatos, utilizados no tratamento de doenças ósseas.;O Actonel deve ser tomado com precaução em pessoas que:;No caso da toma de uma dose excessiva de Actonel, deve-se beber um copo de leite e procurar ajuda médica de imediato.;;
Acular colírio;O Acular é indicado para alívio dos sinais e sintomas da conjuntivite alérgica, para tratamento e profilaxia da inflamação em pessoas que se submeteram a cirurgias oculares e cirurgias de extração de catarata e para o tratamento da dor ocular.;Para alívio dos sinais e sintomas da conjuntivite alérgica, a dose recomendada usualmente é de 1 gota aplicada nos olhos afetados, quatro vezes ao dia.;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são dor e irritação passageiras nos olhos, após a aplicação do medicamento, visão borrada, conjuntivite, inflamação da íris, depósitos de proteínas na córnea, sangramento da retina, edema de retina, sensação de ardor nos olhos, coceira dos olhos, trauma ocular, pressão intraocular e dor de cabeça.;Este remédio é contraindicado para pessoas que apresentam alergia a qualquer um dos componentes da sua fórmula.;O Acular colírio é uma solução oftálmica que apresenta ação anti-inflamatória e antialérgica, que começa agir logo após a aplicação nos olhos.;Para não contaminar o colírio deve-se evitar o contacto do frasco conta-gotas com qualquer superfície, incluindo o olho.;Em geral as superdoses não provocam problemas agudos.;Após aberto, este medicamento só é válido por 60 dias, por isso é aconselhável anotar a data de abertura na embalagem.;
Ad;Indicado para tratar inflamação das gengivas, estomatite e outras infecções da boca, assim como inflamação da boca causada por dentaduras mal ajustadas.;Aplicar duas vezes ao dia, de manhã e à noite, depois de escovar os dentes ou depois das refeições. Depois de desaparecerem as feridas na boca é recomendada a continuação do tratamento por uma vez ao dia, durante 1 a 2 semanas.;Não existem efeitos colaterais relatados, porém pode surgir no local de aplicação sinais de irritação e alergia como vermelhidão, sensação de queimação ou dor.;Não deve ser usado em crianças com menos de 3 anos de idade, mulheres que estejam a amamentar e pessoas com alergia a qualquer componente da fórmula.;Ad-Muc pomada contém na sua fórmula extrato fluido de Chamomilla recutita Rauschert que tem ação anti-inflamatória e anti-bacteriana, auxiliando no processo de cicatrização de feridas na gengiva e boca.;O uso de Ad-Muc durante a gravidez deve ser feito com precaução e apenas após indicação do obstetra.;Não são conhecidos casos de superdosagem.;Conservar à temperatura de 15ºC e 30ºC, protegido da luz e umidade, até à data de validade indicada na embalagem.;
Adalat;Adalat cápsulas;Adalat cápsulas: A dose recomendada de Adalat cápsulas para o tratamento da pressão alta e da doença coronária, é de 1 cápsula, 3 vezes ao dia. Para o tratamento da crise aguda, a dose recomendada é de 1 cápsula por dia. As cápsulas devem ser engolidas inteiras, sem partir ou mastigar, com um copo de água;Alguns dos efeitos colaterais de Adalat cápsulas, Adalat retard ou de Adalat oros podem incluir: dor de cabeça, inchaço, dilatação dos vasos sanguíneos, prisão de ventre e mal-estar geral.;A administração de Adalat cápsulas, Adalat retard ou de Adalat oros é contraindicada em: Pacientes com alergia ao Nifedipino ou a qualquer dos outros componentes da fórmula, caso de choque de origem cardíaca, pacientes que estejam a tomar antibióticos como a Rifampicina, mulheres grávidas até à 20º semana de gravidez e em mulheres amamentando, crianças e adolescentes.;Adalat cápsulas, Adalat retard e Adalat oros, têm na sua composição a substância ativa o Nifedipino.;Adalat cápsulas e Adalat retard;Em caso de toma excessiva de Adalat, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Adalat​ são: perturbações da consciência, podendo entrar em coma, queda da pressão, alteração dos batimentos do coração, aumento do açúcar no sangue, desequilíbrio metabólico, falta de oxigênio no organismo, choque causado pelo mau funcionamento do coração ou acúmulo de líquido nos pulmões.;;
Adaptis fresh;O Adaptis fresh é indicado para o alívio rápido do desconforto ocular causado por exposição ao vento, sol e substâncias irritantes.;A dose recomendada é de uma a duas gotas, que devem ser aplicadas no saco conjuntival do olho afetado, três vezes ao dia ou conforme indicação médica.;;Este colírio não deve ser usado por pessoas que tenham alergia a qualquer um dos componentes da fórmula.;O Adaptis fresh tem na sua composição hialuronato sódico que tem propriedades umectantes, lubrificantes, aderentes, visco elásticas e cicatrizantes e por isso é considerado um agente de absorção e retenção de água.;Este produto é de uso exclusivamente externo.;;;
Addera D3 comprimido;O Addera D3 em comprimidos é um medicamento a base de Vitamina D, indicado como suplemento vitamínico em dietas restritivas e inadequadas.;A dosagem varia em uma faixa terapêutica, entre 1.000U.I. a 50.000U.I., dependendo da patologia e do nível sérico de Vitamina D, sempre a critério médico, levando-se em conta os dados de eficácia e segurança.;A Vitamina D quando ingerida em quantidade excessiva pode ser tóxica.;Este medicamento não deve ser utilizado em pessoas com hipersensibilidade aos componentes da fórmula.;O Addera D3 atua regulando positivamente o processamento e a fixação do cálcio no organismo. É essencial para promover a absorção e utilização de cálcio e fosfato, e para a calcificação normal dos ossos.;Pacientes com arteriosclerose, insuficiência cardíaca, hiperfosfatemia e insuficiência renal, devem procurar orientação médica para avaliar o risco/benefício da administração da Vitamina D.;Na ocorrência de superdosagem, a administração do produto deve ser imediatamente interrompida, instituindo-se tratamento sintomático e de suporte. Doses excessivas de Vitamina D podem resultar em sinais e sintomas similares à hipercalcemia idiopática, a qual pode ser causada pela hipersensitividade de Vitamina D.;;
Addera D3 gotas;O Addera D3 é um medicamento a base de Vitamina D, indicado como suplemento vitamínico em dietas restritivas e inadequadas. É també destinado à prevenção e tratamento auxiliar na desmineralização óssea pré e pós-menopausa, e na prevenção de raquitismo..;A posologia varia em função da idade:;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são secura da boca, dor de cabeça, muita sede, excesso de urina, perda de apetite, náuseas, vômitos, fadiga, sensação de fraqueza, dor muscular, coceira e perda de peso.;O Addera D3 em gotas não deve ser utilizado em pacientes que apresentam hipersensibilidade aos componentes da fórmula.;Este remédio contém colecalciferol que atua regulando positivamente o processamento do cálcio no organismo. É essencial para promover a absorção e utilização de cálcio e fosfato e para calcificação normal dos ossos.;Deve-se avaliar o risco/benefício do tratamento com vitamina D em pessoas com arteriosclerose, insuficiência cardíaca, hiperfosfatemia e insuficiência renal.;Doses excessivas de Vitamina D podem resultar em sinais e sintomas similares à hipercalcemia idiopática.;;
Adeforte;Adeforte é indicado para a prevenção e tratamento da carência das vitaminas A, D e E.;Adeforte solução oral gotas:;Alguns dos efeitos colaterais de Adeforte podem incluir: fraqueza, letargia, dor de cabeça, perda de apetite, perda de peso, náusea, vômitos, cólicas, diarréia, prisão de ventre, tonteira, sede excessiva, urina em excesso, boca seca, dores musculares ou nos ossos, secura da pele, rachadura dos lábios e irritabilidade.;A administração de Adeforte é contraindicada em: mulheres grávidas, pacientes com hipersensibilidade aos componentes da fórmula, pacientes com síndrome de má absorção, pacientes com doenças ósseas relacionadas ao excesso de vitaminas A, D e E e pacientes com insuficiência renal.;Duranto o tratamento com Adeforte, é esperado que a reposição das vitaminas A, D e E ajude a corrigir algumas doenças por carências destas vitaminas. O tempo para o inicio de ação do Adeforte, bem como a duração da ação, vão depender da necessidade orgânica de vitaminas de cada paciente.;O tratamento com Adeforte nunca deve ser interrompido sem conhecimento do seu médico e os horários, as doses e duração do tratamento devem ser respeitados.;Em caso de toma excessiva de Adeforte, deve ingerir uma grande quantidade de liquidos e dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento. Alguns dos efeitos mais comuns que pode sentir após a toma excessiva de Adeforte são: fadiga, náuseas e visão turva.;;
Adenocard injetável;Adenocard injetável é indicado para batimentos cardíacos irregulares, no tratamento da taquicardia paroxística supraventricular e taquicardia associada à síndrome de Wolff-Parkinson-White, em adultos.;As quantidades de Adenocard injetável a utilizar e a duração do tratamento, dependem do problema a tratar, do estado da doença e da resposta individual de cada paciente, sendo que, devem ser indicadas pelo seu médico. Adenocard é um medicamento para uso hospitalar, que apenas deve ser administrado intravenosamente por um médico ou enfermeiro.;Alguns dos efeitos colaterais de Adenocard injetável incluem dor ou pressão no peito, alteração dos batimentos cardíacos, visão embaçada e alteração do pensamento, desmaio, tontura, dor na garganta, dor ou rigidez no pescoço ou queixo.;Adenocard está contraindicado para pacientes com pressão baixa, doenças ou problemas de coração e para pacientes com alergia à Adenosina ou a outros componentes da fórmula.;Adenocard é um medicamento que tem na sua composição Adenosina, um composto com ação no músculo do coração e no sistema de condução. Adenocard é assim capaz de tratar os batimentos cardíacos irregulares, também conhecidos por arritmias.;Antes de usar Adenocard, deverá falar com o seu médico se pretender utilizar o medicamento em crianças, estiver grávida ou amamentando, tive historial de problemas respiratórios, como asma, enfisema ou bronquite, ou se estiver a tomar outros medicamentos, incluindo medicamentos sem receita médica.;Em caso de toma excessiva de Adenocard​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Adesivo Dorflex Icy Hot;Dorflex Icy Hot é indicado para o tratamento de situações onde há dor e inflamação como contusões ou traumas, dores musculares, cãibras ou torcicolos, em adultos.;Dorflex Icy Hot deve ser aplicado sobre a região a tratar do seguinte modo:;Alguns dos efeitos colaterais de Dorflex Icy Hot podem incluir reações de alergia na pele com vermelhidão, inchaço ou coceira na pele.;Dorflex Icy Hot está contraindicado para pacientes com alergia a algum dos componentes da fórmula. Além disso, a utilização de Dorflex Icy Hot está também contraindicada na pele ferida ou com rachaduras.;Dorflex Icy Hot é um adesivo flexível que começa por primeiro resfriar a região a tratar e depois aquecendo-a, o que diminui a dor e a inflamação no local.;Antes de usar Dorflex Icy Hot, deverá falar com o seu médico se estiver grávida ou amamentando, pretender  usar o adesivo em crianças com menos de 12 anos de idade, tiver alguma doença de pele ou se estiver a tomar algum medicamento.;Em caso de ingestão acidental de Dorflex Icy Hot deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
Adinos gel;Adinos gel é indicado para lesões com origem inflamatória, no tratamento de dermatite atópica e seborreica de face e para doenças inflamatórias e pruriginosas de pele, em adultos e crianças com mais de 3 meses.;Adinos gel deve ser aplicado de acordo com as indicações do seu médico, sendo recomendado aplicar uma fina camada do produto sobre a área afetada. Caso seja necessário, esta área pode ser coberta após a aplicação de Adinos gel.;Alguns dos efeitos colaterais de Adinos gel incluem dilatação das paredes dos vasos sanguíneos nas áreas de aplicação, tornando-os mais visíveis, a pele rosada e mais fina, agravamento das espinhas, ressecamento da pele, dermatite de contato, prurido e aumento da ocorrência de infecções secundárias por fungos.;Adinos gel está contraindicado para o tratamento de lesões tuberculosas, sifilíticas e virais, para crianças com menos de 3 meses de idade e para pacientes com alergia à Desonida ou a outros componentes da fórmula.;Adinos gel é um creme para uso tópico que tem na sua composição Desonida, um corticosteroide capaz de atuar em dermatoses sensíveis e que apresenta propriedades anti-inflamatórias e antipruriginosas.;Antes de usar Adinos gel​, deverá falar com o seu médico se estiver grávida ou amamentando ou se estiver a tomar outros medicamentos.;Em caso de utilização excessiva de Adinos gel​, deve dirigir-se ao hospital mais próximo, levando a embalagem ou bula do medicamento.;;
