;Nome;Pergunta;Resposta;Resposta_predita
299;Biovir;Como usar Biovir?;Os efeitos colaterais mais comuns que podem ocorrer com o uso deste medicamento são hiperlactatemia, dor de cabeça, náuseas, vômitos, dor abdominal, dor muscular, tontura, diarreia, manchas vermelhas e placas pelo corpo, queda de cabelo, dor nas juntas, distúrbios musculares, fadiga, mal-estar generalizado e febre.; Biovir é um medicamento que tem na sua composição vitamina A, B6 e E, que são essenciais para o crescimento e fortalecimento do sistema imunológico.  Biovir pode ser usado em casos de deficiência de vitamina A, B6 e E, ou em casos de estresse físico ou mental, ou ainda, em casos de doenças que afetam o sistema imunológico.   A dose recomendada de Biovir é de 1 comprimido por dia, de preferência à refeição.  Os comprimidos de Biovir devem ser engolidos inteiros, juntamente com um copo de água, sem partir ou mastigar.   Alguns dos efeitos colaterais de Biovir podem incluir reações de alergia na pele como vermelhidão, coceira ou urticária na pele.   Biovir está contraindicado para pacientes com alergia a algum dos componentes da fórmula.   Antes de usar Biovir, deverá fal
323;Protectina 100 e 200 mg;Quais são os potenciais efeitos indesejados de Protectina 100 e 200 mg?;Não deve ser usado em crianças com menos de 8 anos, mulheres grávidas ou que estejam a amamentar e pessoas com alergia a qualquer componente da fórmula.; Protectina 100 e 200 mg são compostos de vitaminas e minerais que podem ser utilizados em dietas restritivas e inadequadas, sendo que os efeitos indesejados mais comuns são:  Vitamina A: aumento da sensibilidade à luz solar, alergia ao sol, dores de cabeça, dores de barriga, náuseas, vômitos, diarreia, coceira, vermelhidão e inchaço da pele, alergia a algum medicamento, aumento da sensibilidade à luz solar, alergia ao sol, dores de cabeça, dores de barriga, náuseas, vômitos, diarreia, coceira, vermelhidão e inchaço da pele, alergia a algum medicamento, aumento da sensibilidade à luz solar, alergia ao sol, dores de cabeça, dores de barriga, náuseas, vômitos, diarreia, coceira, verm
652;Reumon Gel;Em que circunstâncias eu não deveria utilizar Reumon Gel?;Reumon tem na sua composição Etofenamato, um anti-inflamatório não esteroide para uso local com propriedades analgésicas. O Etofenamato atua no organismo inibindo o processo inflamatório e diminui as reações anafiláticas e de resposta a corpos estranhos.; Reumon Gel não deve ser utilizado em casos de hipersensibilidade ao diclofenaco ou a qualquer outro componente da fórmula.  Não deve ser aplicado em mucosas, feridas abertas, queimaduras, lesões infectadas ou queimaduras.  Reumon Gel não deve ser aplicado em crianças menores de 14 anos de idade.   Aplicar uma camada fina de Reumon Gel sobre a região afetada, 2 vezes ao dia.  A duração do tratamento depende da gravidade do problema, por isso, deve ser indicado pelo médico.  Não interromper o tratamento sem o conhecimento do médico.   Em casos de superdosagem, deve-se ir imediatamente ao médico.   Cada grama de Reumon Gel contém:  Diclofenaco dietilamônio equivalente a diclofenaco sódico  10 mg  Excipientes  mg  (Excipientes: carbômer 934P, dietilam
577;Emsgrip;Qual é o propósito principal de Emsgrip na área da saúde?;O sachê deve ser dissolvido em água ou chá quente.;" O propósito principal de Emsgrip na área da saúde é fornecer informações e suporte em saúde, para que possam ser tomadas as melhores decisões.  Como assistente, Emsgrip pode ser usado para:  Obter informações sobre doenças e problemas de saúde;	Obter informações sobre tratamentos e terapias;	Obter informações sobre nutrição e alimentação;	Obter informações sobre fatores de risco para doenças;	Obter informações sobre a prevenção de doenças;	Obter informações sobre a saúde do corpo;	Obter informações sobre a saúde mental;	Obter informações sobre a prevenção de acidentes e traumas.  Como assistente, Emsgrip pode ser usado para:  Obter informações sobre doenças e problemas de saúde;	Obter informações sobre tratamentos e terapias;	Obter informações sobre nutrição e alimentação;	Obter informações sobre fatores de risco para doenças;	Obter informações sobre a pre"
623;Dequadin;Qual é a finalidade do medicamento Dequadin?;A dose recomendada de Dequadin é de uma pastilha a cada 2 ou 3 horas, durante o início do tratamento, reduzindo o número de pastilhas por dia à medida que se forem sentindo melhoras.; Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Uso adulto e pediátrico - Uso oral   Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.   Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.  Dequadin é um medicamento que possui ação antimicrobiana, antiviral e antiprotozoária.
285;Gino Tralen pomada;Há alguma condição específica em que o uso de Gino Tralen pomada é desaconselhado?;O tioconazol é um agente antifúngico sintético de amplo espectro que, in vitro, tem atividade fungicida contra leveduras e outros fungos, além de ter atividade contra microrganismos incluindo Staphylococcus spp., Streptococcus spp., Gardnerella vaginalis, Bacteroides spp. e Trichomonas vaginalis.;" Não há nenhuma condição específica em que o uso de Gino Tralen pomada é desaconselhado. Gino Tralen pode ser usado em qualquer tipo de pele, independentemente de sua textura ou cor.  Como usar:  Lavar a região afetada com água e sabonete suave;	Aplicar uma fina camada de Gino Tralen pomada, espalhando cuidadosamente;	Cobrir a região afetada com uma gaze limpa e seca;	Colocar uma compressa macia sobre a região afetada e tapar com uma gaze esterilizada.	Após 10 a 15 minutos, remover a compressa e lavar a região afetada com água e sabonete suave.  Não há necessidade de lavar a região de aplicação com água.  Não há restrições ou recomendações especiais para o uso deste produto em pacientes idosos, crianças, gestantes ou lactantes.  Não há relatos de reações advers"
696;Narcaricina;Para que serve Narcaricina?;A dose recomendada de Narcaricina é de 1 comprimido, administrado de manhã, durante 6 a 8 dias. Caso seja necessário, de acordo com indicação médica, esta dose pode ser aumentada para 2 comprimidos diários.; Narcaricina é um medicamento que possui ação sedativa, relaxante muscular espasmódica, antipirética e anti-inflamatória.  Narcaricina é indicado para o tratamento de crises de asma, bronquite, rinite alérgica, reações anafiláticas, dermatite atópica, picadas de insetos, síndrome de Stevens-Johnson e Lyell, síndrome de McCune-Albright, poliarterite nodosa, artrite temporal, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa, poliarterite nodosa,
154;Azi;Para que serve Azi?;O remédio Azi deve ser administrado em dose única diária, podendo ser administrados a qualquer hora do dia, inclusive às refeições.;" Azi é um assistente virtual de conversação, destinado a ajudar a resolver dúvidas e responder a perguntas sobre diversos tópicos, como saúde, nutrição, exercício físico, bem como sobre tecnologia, redes sociais, moda, entre outros.   Como usar Azi pela primeira vez:  Para utilizar Azi pela primeira vez, deve-se iniciar uma conversa com o assistente virtual, fazendo o seguinte: 1. Abrir o aplicativo Azi;	2. Tapar na palma da mão o botão “Start”;	3. Escolher o assunto que deseja conversar;	4. Tapar na palma da mão o botão “Ask”;	5. Escolher a resposta que deseja;	6. Tapar na palma da mão o botão “Send”;	7. Verificar se o assistente virtual respondeu corretamente;	8. Fechar o aplicativo Azi.  Azi pode ser utilizado de forma remota, sem a necessidade de"
57;Estrofem;Em que situações médicas é recomendado o uso de Estrofem?;Para início e continuação do tratamento dos sintomas da menopausa, a dose efetiva mais baixa, com curta duração deve ser utilizada.  Uma mudança para dose mais alta ou menor dose de Estrofem (estradiol) pode ser indicada, se após três meses de tratamento, a resposta para o alívio  dos sintomas da menopausa ou a tolerabilidade ao tratamento apresentarem-se insatisfatórios.  Obtém-se inibição suficiente da perda do conteúdo mineral ósseo com administração de dose diária de 1 - 2 mg de Estrofem (estradiol). Deve-se administrar diariamente, por via oral, 1 comprimido de Estrofem (estradiol), sem interrupção.  O tratamento de pacientes histerectomizadas e das pós-menopáusicas pode ser iniciado em qualquer dia. Se a paciente menstrua, o tratamento deverá ser iniciado no 5º dia após o início do sangramento. Em pacientes não-histerectomizadas (com útero intacto), a combinação com progestágeno deve ser considerada. Para pacientes não-histerectomizadas o esquecimento de um comprimido pode aumentar a probabilidade de sangramento de privação e de escape.;" Estrofem é um medicamento que pode ser usado em situações em que ocorre diminuição ou ausência do fluxo menstrual, como por exemplo:  Menstruação irregular;	Aumento da frequência das menstruações;	Sangramento intermenstrual;	Ciclos menstruais curtos;	Ciclos menstruais longos;	Sangramento uterino anormal;	Aumento da frequência da ovulação;	Infertilidade.  Estrofem pode ser usado também em situações em que ocorre diminuição ou ausência do fluxo menstrual, como por exemplo:  Menstruação irregular;	Aumento da frequência das menstruações;	Sangramento intermenstrual;	Ciclos menstruais curtos;	Ciclos menstruais longos;	Sangramento uterino anormal;	Aumento da frequência da ovulação;	Infertilidade.  Estrofem pode ser usado também em situações em que ocorre diminuição ou ausência"
620;Flancox comprimidos;Quando não devo usar Flancox comprimidos?;O Flancox comprimidos, cujo princípio ativo é o etodolaco, é um medicamento anti-inflamatório não-esteroide, com atividade analgésica e anti-inflamatória. O tempo médio estimado para início da sua ação são 30 minutos após a toma; Flancox comprimidos não deve ser usado por pessoas com alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você já teve alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você já teve alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você tem alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você tem alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você tem alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você tem alergia a qualquer um dos componentes da fórmula.  Não tome Flancox comprimidos se você tem alergia a qualquer um dos componentes da
557;Bambair;Como Bambair atua no organismo para produzir seus efeitos?;Deve ser usado com cuidado em doentes com problemas de rins, diabetes, hipertiroidismo e problemas de coração. Durante o tratamento, deve-se avaliar os níveis de potássio no sangue.; Como Bambair atua no organismo para produzir seus efeitos, é necessário que você consulte um médico.  O que você precisa saber é que Bambair é um medicamento que atua no organismo de forma indirecta, através do fígado.  O fígado é responsável por eliminar os nutrientes e os toxinas do organismo.  Quando você ingerir Bambair, o fígado começa a funcionar melhor, eliminando mais rápida e eficientemente os nutrientes e toxinas, o que resulta em uma melhor utilização dos nutrientes e uma redução dos efeitos indesejáveis do organismo.  Como resultado, você se sente mais saudável e com mais energia.   Você não deve tomar Bambair se tiver alergia a qualquer um dos componentes da fórmula.  Você não deve tomar Bambair se estiver grávida ou amamentando.  Você não deve tomar Bambair se tiver diabetes ou
573;Ginseng;Quais são as instruções para o uso correto de Ginseng?;Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.; O Ginseng é um medicamento que tem na sua composição extrato de raízes de Panax ginseng, que atua no organismo como um adaptógeno, ou seja, como um medicamento que ajuda o organismo a se adaptar a estressos, traumas, doenças ou alterações climáticas.  A dose recomendada de Ginseng para adultos é de 1 cápsula, 3 vezes ao dia, antes das refeições.  A duração do tratamento com Ginseng deve ser indicada pelo seu médico.   Os efeitos colaterais mais comuns que podem ocorrer com o uso de Ginseng são insônia, nervosismo, irritabilidade, tremores, dor de cabeça, palpitações, taquicardia, hipertensão, hipotensão, dor abdominal, diarreia, náusea, vômito, prisão de ventre, boca seca, aumento da sudorese, coceira, erupções cutâneas, urticária,
